product_id,camera_video
49745,"8K@24fps (HDR), 4K@24/30/60fps (HDR10+, 10-bit Dolby Vision HDR, 10-bit LOG), 1080p@30/120/240/960fps, 1080p@1920fps, gyro-EIS"
33627,"8K@24fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS"
42019,"4K@30/60fps, 1080p@30/60fps, gyro-EIS"
52306,4K / Full HD 60FPS720p 30FPSSlow-mo Full HD 240FPS
30746,"4K@30fps, 1080p@30/60/120/240/960fps, gyro-EIS"
38610,UHD 8K (7680 x 4320)@24fps
78605,FullHD 1080p@30fpsHD 720p@30fps
61511,FullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@30fpsHD 720p@30fps
60676,1080p@30fps
32667,"4K@30/60fps, 1080p@30/60fps, gyro-EIS"
71941,4K 2160p@60fps
36492,4K@24/25/30/60fps1080p HD @25/30/60fps720p HD@30fps
49746,"4K@30fps, 1080p@30/60/120fps"
49381,"4K 2160p@60fps, FullHD, 1080p@30fps, HD 720p@30fps, FullHD 1080p@60fps, 8K 4320p@24fps, 4K 2160p@30fps"
35034,"8K@30fps, 4K@30/60fps, 1080p@30/60fps, 720p@ 30fps"
49793,"8K@24fps, 4K@24/30/60fps, 1080p@30/60/120/240/480/960/1920fps, gyro-EIS, Dolby Vision HDR 10-bit rec. (4K@60fps, 1080p)"
62238,"4K@30fps, 1080p@30/60/120/240fps"
25217,"Trước: 4K@30/60fps, 1080p@30fpsSau: 8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS"
41493,"4K@30/60fps, 1080p@30/60/240fps, con quay hồi chuyển-EIS, HDR"
27478,"Trước: 4K@24/30/60fps, 1080p@30/60/120fps, gyro-EISSau: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), stereo sound rec."
44533,4K 3840x2160 60fps4K 3840x2160 30fps1080p 1920x1080 ở tốc độ 60fps1080p 1920x1080 ở tốc độ 30fps720p 1280x720 ở tốc độ 30fps
33630,"4K 2160p@30fps, 8K 4320p@30fps, FullHD 1080p@30fps"
65918,N/A
68867,4K@24/25/30/60 fpsHD 1080p@25/30/60 fpsHD 720p@30 fps
77855,1080p@30fps
57237,"FullHD 1080p@30fps, HD 720p@30fps"
42898,1080p 1920x1080 | 30fps720p 1280x720 | 30fps
32366,"8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS"
33640,1080p@30fps
42339,"4K@30/60fps, 1080p@30/60/120fps, 720p@960fps, HDR"
50348,"8K@24fps , 4K@30/60fps"
75775,N/A
28517,"4K@60fps, 1080p@60/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10+"
